id,Description,Sentiment,
95,I ordered this phone for over $500 on here. It�s supposed to be a renewed fully unlocked phone. Upon receiving the phone I noticed pits and scratches on back of phone which was a no biggie since I have a case for it. But upon installing my SIM card from my existing boost iPhone into this phone and it wouldn�t work. It just said no service on top corner of phone. I then went to Boost website to try to activate it and then I noticed that they had the same phone for $449. So decided to send this back and order from boost and I know o won�t have any issues when I transfer my SIM card from my existing phone.,Neutral,
96,I was a little scared to buy a phone off line and was really excited when it came in the mail earlier than expected. But sad to say that the left side of the touch screen doesn�t work most of the time and will have to return. Very disappointed in my purchase,Neutral,
97,"What an awful, frustrating month long experience. Save yourself a ton of grief and aggravation and do not buy a phone here!! This whole experience was tragic. The phone was an absolute complete and total piece of worthless junk. The key board didn't work, it constantly froze up, it muted itself whenever it felt like it. I initiated a return process after the hassle of importing everything onto it then having to reverse the process when I realized the phone was possessed. I contacted the company and their big solution was to have me take the phone to a local repair shop like it was a pair of shoes and get an estimate for repairs, send them said estimate and they would then reimburse for the repair cost if the estimate was to their liking.NO WAY!! Ludacris, absurd solution! I finally had to get Amazon customer service involved, 6 phone calls over the span of a week and they were nice about it but I had to drive the phone 45 minutes to a UPS drop off spot after that and finally got a refund but not for the full price paid so I had to call Amazon AGIAN to get it fully rectified. Even the Amazon representative said this was a totally bogus response and proposed solution from the seller and to not buy 3rd party seller items in future. Lesson learned! Don't waste your time with this company. they sell you junk and make it as hard as possible to return for a refund. one month out and I still don't have a phone. Waiting till Black Friday at this point and buying new.",Negative,
98,I waa skeptical about getting this iPhone because it was a renewed product and it was via Amazon not an iPhone dealer. My kid had received a couple of hundred dollars in Amazon gift cards and some cash for her birthday. I wanted her to have a new phone but I didn't want to be under a contract so purchasing was the best bet. I read the reviews and read up on the Amazon Renewed program and it seemed like a good deal. The gift cards helped defray the cost. She got what she wanted in perfect condition. I purchased the warranty for extra protection and we took it to Metro PCS by T-Mobile and they set it up without a hitch. I will use the Renewed program again. I saved about $100 over the cost of a new phone and was able to purchase a case and shield with change to spare.,Positive,
99,I was quite skeptical about buying an iPhone from here but when mine came in the mail those suspicions left. Mine came basically new with only a few tiny scratches. 100% battery life and everything worked perfectly! Totally worth it tbh,Positive,
100,"This phone is practically new. Absolutely no signs of use but a tiny scuff beside the flash on the back of the phone which doesn't hurt the usability and is barely noticeable. The battery is at 100% capacity. Packaged in generic box with a generic charger. When received, there was already a screen protector on the phone. Was able to set up with my carrier immediately. I use straight talk, all I had to do was transfer my information from my current iPhone to this one and move the SIM card from current phone to this one. The process took 10 min at most.",Positive,
101,I purchased the phone but when I took it to T-Mobil the device wouldn�t allow them to activate it. T-Mobil spoke with the customer care person from the seller but they couldn�t get it to work. So they told me to send it back. Prr rt onlem is now they don�t have anymore � at least not at that price. When asked what they can go for me they said nothing. After they receive the device they will credit me.I ended up buying a NEW one unopened and unused by T-Mobil for $599. Yeah it was $113 more but it is unused AND THIS TIME IT ACTUALLY WORKS!!!! They should at least guarantee me another one at that price or at the very least do something for my troubles. The customer care person was nice and polite. But reiterated that there was nothing he can do and this happens. Unfortunately I wouldn�t recommend this company. But new or from Amazon�s renew store. They at least stand by there products and guarantee satisfaction.,Negative,
102,"I purchased this iPhone 11 that said it was unlocked . When I searched for iphone 11a I put Boost mobile only to find out this phone isn�t compatible to boost mobile and I�m really upset and pissed because I spent almost $800 on this phone plus shipping and handling only to find out the phone isn�t even compatible with Boost. I will be getting a refund , credit or somethingI purchased this iPhone 11 that said it was unlocked . When I searched for iphone 11a I put Boost mobile only to find out this phone isn�t compatible to boost mobile and I�m really upset and pissed because I spent almost $800 on this phone plus shipping and handling only to find out the phone isn�t even compatible with Boost. I will be getting a refund , credit or something",Negative,
103,"EXTREEMLY DISSAPOINTED!!!! Waste of time and money!!! This phone is NOT COMPATIBLE WITH T-MOBILE OR SPRINT which is what I have!!!!!! BEWARE BUYERS!! - will update if seller fixes this issue. UPDATE: customer service contacted me but Inspite of me saying 3 times I want to return it please send me a label they kept wasting time asking me how I want to proceed after already telling them!! Emails seemed to just go in circles instead of saying ok sorry here is a label. Now of course they aren�t open on weekends so I am out $700 and a phone even longer now! Not appreciating this at all. Not happy right now, hope they rectify this and they send me the label ASAP because this is NOT OK.",Negative,
104,"So i'm going to be completely honest, i was extremely worried about spending the amount of money i did on amazon. But with that being said the phone arrived extremely fast, and is in close to Brand new condition with the exception of a tiny nick on the bottom right corner of the phone, which is no biggie at all. I have had the phone for about a month now and it has been ABSOLUTELY AMAZING! no problems as of now and highly doubt there will be any... fingers crossed. side note It does not come in the original box or at least mine didn't which for me personally is not a problem, just wanted to give a heads up. Highly recommend, Good luck!",Positive,
105,I was a little skeptical about buying an iPhone off of amazon but I�m super happy with this phone it was brand new and came with a full battery. It was very easy to set up...and it is fully unlocked so you can get any type of phone carrier you want. Definitely would recommend people to buy.,Positive,
106,Was skeptical as well. Although it came faster than expected and was perfect it felt like a new phone from Apple expect for obvious reasons. Nothing is different about this phone expect for where you are getting it from. Mines came fully unlocked working no scratches or cracks.. Stellar phone In general,Positive,
107,"I brought three(3) of the phone for my family and they work okay for a month. After that month of use it become disaster because they all came down with a battery problem. The phone would literally shut down while I'm on important calls, it was extremely hot and the battery wasn't holding the charge. I personally replaced the battery with the original batteries and same thing occur. The reason I couldn't return was because I was out of the country and wouldn't be able to return in time.",Negative,
108,Perfect phone. Looks like new. Unlocked. No scratches at all. It looks like I just got it on an apple store. Ty. I am VERY HAPPY with my phone,Positive,
109,Ordered this phone because it said it worked for TMOBILE. It doesn't work with TMobile and it isn't unlocked. It is carrier locked to a different company and cannot be unlocked through TMobile. According to TMOBILE it can only be unlocked through the original carrier and they don't know who that is. Big waste of time and money! I've asked for a refund but this is just more days of waiting to be able to buy a phone. Writing this review so others can be cautious.,Negative,
110,"I love ittttt! I was a little skeptical at first, but I love this phone! It came with a charger, and it came in a day early!",Positive,
111,I Love This Phone To Be a Renewed Phone It's Awesome. For Almost $700 it's A Great Buy.,Positive,
112,"My phone was delivered before the promised date, well packaged and just what I ordered. I have since set it up and it is running magnificently. I absolutely am so delighted with my phone",Positive,
113,"the phone worked well, but the face recognition did not work. I tried everything, but nothing and I had to send my phone to amazon to get my money back and I was left without phone for a couple of days.",Negative,
114,Good,Positive,
115,"Hi everyone. This phone is the biggest amazon purchase I've made and I don't regret it! I was hesitant at first after reading some horrible reviews about other phones online, but this hasn't disappointed me yet. The phone arrived in excellent condition- like brand new. Ive had it almost 2 weeks now and I've had ZERO issues. I bought a separate case and screen protector - I've dropped it several times already (i'm clumsy) and it still held up great. No issues with the touch screen. The battery life is amazing!!!! If you have doubts, I hope my review helps you seal the deal :)",Positive,
116,Absolutely amazing and so glad I made this decision! Definitely worth every penny,Positive,
117,Phone came in amazing shape. It didn�t come in it�s original Apple box which is fine and it didn�t come with the original apple charger which is also okay! It still came with a nice lengthy charger regardless. The phone has 100% battery capacity and it had absolutely no dents or scratches on it.,Positive,
118,"So I was very skeptical only because this would be my second purchase through amazon . The first time was ordering for my mother in law and it turned out fine for her , physically flawless phone with great battery life. For me on the other hand the battery life was disappointing and I feel like the speakers are bit off like it was renewed from water damage possibly. Also the phone wasn�t all the way unlocked . Though I can use it fine and my SIM card works , for some reason it won�t fully register with my provider online and when I chatted with an agent through Verizon they said my phone was non-Verizon device and they were unable to unlock it which again begs the question is it truly unlocked? Or was there a loophole and I can still use it properly with no problem. Will be returning only because the storage is not enough in comparison to my old phone but I�ve read that it�s a hit or miss when returning these phone so wish me luck !",Neutral,
119,"The screen on the left side was sometimes not recognizing my touch, which leads me to look closely at the device and it looks like it's a damaged piece that was repaired. The device was warded off, looked to be overused, Camera has scratches and frame dents, mute knob some times does not mute the piece.
There are better-refurbished devices for the same price, this one looks to be totally repaired.",Negative,
120,"My first Apple product since the ipod. Which still works BTW. I suffered through a whole series of android phones. Had issues with them. Calls dropped, bad reception. Calls I was waiting for going directly to voicemail. I blamed my carrier and I was wrong. It was the phones.

Easy to use. Better texting/fast fewer mistakes. More intuitive. So simple to pair accessories. Just works effortlessly. I have excellent reception and the phone works all the time. It is reliable and it seems sturdy, not cheap. I am now an Apple person. My next computer will be Apple too. I am done fighting with technology. I want it to work for me and Apple does that.",Positive,
121,"I was very skeptical about buying a renewed iphone. The phone arrived like a brand new iPhone, not a single dent or scratch and it has been working perfectly",Positive,
122,Quick safely-packaged delivery. A little disappointed in myself for not doing my own research on price/value because they have this exact phone brand new on the Apple website for about $50 more than I paid for a renewed version of I understood correctly but hey ya live and ya learn. I really like this phone. Easy to set up me as I already have an IPhone 7 Plus. It is not as large or as heavy as the 7 Plus which is a great thing for me because I have some arthritis in my hands. Nice crisp screen/view and not as harsh on the eyes for some reason. I LOVE the green color!! Might try trading in my old phone towards another Apple doodad. We shall see. Smoothe easy deal. YAY!!!,Positive,
123,"Phone came with a screen protector on it that had a scratch on it...or seemed to. Screen protector cracked so I removed it and there�s not only one huge gouge but another one and a scuff mark on the screen. Touch screen doesn�t always work the best either. As soon as I get a replacement, I will be sending it back :(",Negative,
124,I love this so much ! The vendor was one of the only ones who had yellow iPhones available at a good price. I just upgraded from a iPhone 8 that I had for less then a week due to it size. Now this is everything I wanted and more. I love yellow lol. Also I was so happy to see there was a screen protector already in my phone. Like really? That�s a win. I now have 4 extras just in case . It�s also a lot faster then my iPhone 8 and transferring my stuff was eAsy.,Positive,
125,Good phone for the price,Positive,
126,Absolutely wonderful product. Bought refurbished from Amazon warehouse. Looks and performs as brand new. Fantastic. The product arrived one day earlier than promised.,Positive,
127,I was pretty worried about getting a refurbished phone off of amazon but this is definitely worth the buy! It doesn�t come in the Apple box or has earphones but the phone is in amazing condition! It looks brand new and has full battery capacity but also it comes with A tempered glass screen protector on the phone!,Positive,
128,The phone came without a scratch. Easy to set up. Everything works.,Positive,
129,"Plus the BUY BACK Program is a scam. They try to low ball you, AFTER saying the expected amount they'll give you AFTER you've already sent it in. Then if you don't accept you get it back weeks later. Plus I sent it in with a brand new ""Real Apple Charge Cable & Charger"" and they KEPT the cable and charger, only returned the phone. The phone I traded in, was in better screen shape than the screen on the phone I purchased. Will NEVER do this again.",Negative,
130,"I�m so thankful Amazon offers the phone refurbished. I�m not spending $150 a month with leases and payments to these phone companies. With a family of seven and kids that want to keep up with the Joneses. Verizon offers a prepaid plan unlimited everything for $35. That�s right for $35 a month draft it out of your debit card or go in the store and pay. If you have your own phone you get the same service as I paid $150 a month for for $35. I cannot do that if Amazon did not offer these refurbished phones. Thanks to Amazon and thanks to whoever is refurbishing these phones. Please take my advice,Switch to prepaid and buy yourself a pair of shoes every month with the savings",Positive,
131,"So far so good, I have only had the phone a few days, the delivery process went smoothly. The phone did look fairly new the only give away was that it did not come in the apple box and I did not receive an original apple charger to use with it, but I purchased my own. For the price I feel like I did get a good deal, definitely better than paying over a thousand just for the original box and charger and earbuds, I believe that is all I�m missing. The phone did appear unlocked, I use AT&T and it works fine with it.",Positive,
132,"Wow... Went to activate phone and Verizon says the phone has been reported as STOLEN?!?!? The girl at tech support was very nice and issued me a refund. She stated that the phone may not have been wiped clean by the previous owner, but either way, aren�t they supposed to check these things out before simply sending them out to buyers? Wow, I�d expect this on eBay, but not Amazon.",Negative,
133,"If there is ever a phone I was ever so pleased with, it�s this one. I got it during quarantine time because I had accidentally put my old phone in the washer. Anyway, this phone is excellent for a refurbished. From face recognition, battery life span, camera quality, storage, I wouldn�t ask for a better phone. I would definitely recommend it to anyone looking to but iPhone 11 for an affordable price, one year now and my phone is still intact. Bought another one for my brother and he was not disappointed. I also got them in their apple packaging with accessories which is unbelievable because I thought I wouldn�t by the comments. 10 stars, get you this phone.",Positive,
134,Honestly it was because of the reviews why I trusted the seller. And it was worth it. Can�t complain no scratches no damage no issues what so ever. I wild recommend anyone to them. I use metro pcs as my carrier and they do support this phone. Plus I get to keep my bill low. Win win.,Positive,
135,"Excellent condition, like new. Very happy with it so far.",Positive,
136,"I love it so much!! Definitely an upgrade for sure i had the iPhone 8 previously ! It was about $100 cheaper than the apple website!! A few people mentioned in there reviews that they received a screen protector with there phone but i did not, it did come with a charger, the block for it!! I am very satisfied I didn�t have to call my phone company either to have the phones/ sim card switched it did that all its self which i love, it made the process so much easier!! I did go ahead an buy a case & protector & that was the part that got me most i could buy phone case & protector along with the phone & it was still under what apple was trying to sell it for! Thank you amazon P.s. no cracks, dents, or scratches that i can see! Also came early!!",Positive,
137,I received the phone two weeks ago and I was a little nervous after some of the reviews I've read about renewed phone. It came in a generic box and the phone was inside a bubble wrap package. I quickly inspected the phone and it was perfect. It looks practically brand new. It also came with free screen. Booted the phone and completed the setup. Phone works great so far! Will keep everyone posted if anything change.,Positive,
138,Very nice It�s not a scam,Positive,
139,"It came defective in certain parts of the screen - it didn't feel the touch. I could not even enter my Apple ID because it didn't catch certain letters from the keyboard, especially the ""o"".
For that reason, I couldn't pass the factory settings to check the cell phone in other aspects such as the camera, the battery, or the speakers.
When I contacted the company, they told me they regret the problem (they only attend Monday to Friday - 9:00 am - 5:00 pm EST). After some e-mails, they asked me to take the cell phone to a repair shop to inquire about a QUOTE of a diagnosis and estimated repair cost.
Finally, they told me that the only thing they could do was give me the refund and not the replacement of the product because ""they don't have it in stock"".",Negative,
140,I purchased the black iPhone 11 and it came in with no scratches or dents in the phone. The screen was also flawless. The battery percent was at 100%. I am satisfied with my purchase and would definitely buy from BuySpry again!! Also this is my second amazon refurbished phone purchase. 10/10 would recommend,Positive,
141,This phone came in only two days. The phone came with a sturdy charger and charging box. The phone also came with a glass screen protector on it which I REALLY appreciate bc I can NEVER get mine on perfectly. This one is on PERFECTLY. the battery life was at 100%. In perfect condition. Even came w ab 80% battery.,Positive,
142,"The phone is very nice looking and it was so easy to set up the phone. It took no time to set up phone and for all my stuff to show back up on here. I suggest that if u have a phone u should do the trade in option like i did because you can get money off the phone. Only problem I had is thatthe phone wasn�t updated and I had to wait an hour to update the phone. But other than that overall nice phone! The seller was super nice btw and very helpful :) I will do a one month update on this phone so watch out for that. (I�ve had it for a week now)

Update :

Phone really isn�t unlocked to all carriers but overall the phone is ok ig. It�s it works only with cdma networks Not happy",Negative,
143,"My phone operated terribly. The time and date were never correct on my phone, the notifications didn�t work, the sound was crackly so any time i would listen to music or anything it would crackle. speaker phone didn�t work, the front flash was completely foggy there were dents and chips in the phone itself when it arrived. I tried various methods to fix these things and i contacted the seller and all they said was to return the phone. they did not say they�d exchange it or they�d fix my phone and we�re not helpful at all. i returned the phone and just bought one from apple it was only 30$ more.",Negative,
144,Mine came with a dead pixel and 90 percent battery life. I returned it and just bought a new one. While you might get lucky and get a like new product it just isn�t worth it to me to save 50 dollars. They need to lower their price to around 100 less then new to make me ever think about buying a used phone again.,Negative,
145,Came in time was wrapped very good It is a great phone Im enjoying it very much,Positive,
146, I always buy used phones but the last phone I bought battery was messed up (it�s was a iPhone 6s) and desperately needed a new phone I came across this phone on here and was Skeptical because not a lot of people left reviews but the reviews that were left were good there was only two bad reviews so I decided to buy it I bought This phone in purple With 128 GB unlocked it came 3 days earlier than expected it came with a charger and a charging box didn�t come in in the original box or with the earbuds but I didn�t expect it to come with that anyways the phone its self is in great quality there are no cracks no chips nothing Iv been using the phone for 3 days now and haven�t had any problems the Face ID is fast and working everything about the phone is fast Nd the battery life is amazing the camera is so HD and the speaker is loud all around the best phone. of course not everyone will get the same phone sum might come with cracks sum might not but I would recommend to buy and try it if it don�t work just send it back but this is wroth it I plan on buying another one for my sister,Positive,
147,"After a three year hiatus of wanting another phone from the iPhone 6plus which by the way was a replacement from my 8plus at the time � yea I know you all like what the � lol yes times was hard lol came across this phone read the reviews and since I�ve purchased online in the past I�m like why not shipping was like less then 48 hrs! Phone arrived without original packaging but they did a great job package that once it get to you it�s in a safe condition! I ABSOLUTELY LOVE THIS PHONE!!! Battery life greAt! The speaker sound is Amazing! But the Camera�s!!!!!!! Take the cake all the way home! I feel like a real
Photographer! Lol I be ready to go to nature trails etc! This is definitely a GREAT BUY for an FANTASTIC price!!! 
One person found this helpful",Positive,
148,"So far I�m very pleased with the iPhone 11 I received. I purchased an AT&T locked phone because it was cheaper and I�ve had so many bad experiencing buying �unlocked� phones in the past that aren�t unlocked.

Anyway, I�m upgrading from an old iPhone 6s so by comparison everything seems super sleek and nice. My refurbished phone came to me undamaged and I did not find any nicks or scratches on it, it essentially looks brand new. Battery life seems amazing. The seller even put a screen protector on it, which was a super nice touch and I was not expecting it.",Positive,
149,"i was a little weary about buying an iphone from a third party seller, but this phone is amazing quality! it came with an apple charger, and there were absolutely no scratches or damage on the phone. it works like new and the maximum battery capacity was at 100%. it�s super fast and the camera quality is amazing. for about 300 dollars less, it�s an amazing deal",Positive,
150,"Great product so far I�ve been waiting some time to write this review because people say it breaks after a week to a month it�s been a little over a week and it�s been great looks brand new no issues whatsoever I�ll keep you updated however.

Continued: about a month later idk I�ve been having connectivity issues. It isn�t that big of a deal but it�s too much of a hassle to be sent a new phone so I make do but I�ll probably end up getting a new one.",Positive,
151,"It�s perfect <3 My date got me this phone as a v times day gift and I just absolutely love it there�s no problems at all (not a paid review lol :,> ) there are a few scratches on the side but it�s nothing a phone case can�t fix the back and front came with no scratches for me but for everyone it may be different there are absolutely NO issues with the phone easy to get in adding you Apple ID and everything it�s just a overall good phone! So if your having second thoughts about ordering this Don�t it�s indeed the real deal :> ok I�m done now follow me on Instagram and tik tok tho and if you need more information on this feel free to contact me @Jxstsalt on Instagram and tik tok <3",Positive,
152,The phone should be water proof but after putting the phone in water it shut off. Extremely disappointed.,Negative,
153,This is a great product!! The phone came in a good reliable box and was here a day before it was supposed to be. I would recommend this seller 100%,Positive,
154,"Ok, let me start by saying I was really sketched out by ordering this. It still costs a pretty penny but you�re unable to view the quality before hand. This by no means will receive a 5 star rating from me not because it lacks the apple packaging and accessories but because it had minor scratching on the screen. Everything Else so far has been perfect but don�t expect to get a flawless phone. a simple screen cover helped the scratch look but that�s not the point. The screens for the iPhone 11 are not oled so they are inexpensive to replace. There is no reason why based on this price tag that they couldn�t have replaced the scratch screen as well. Overall , happy with the purchase but not blown away",Neutral,
155,"UPDATE: return and refund went smoothly. New phone works perfectly, no issues!

According to Apple this is a faulty device that needs to be replaced. It randomly powers down and they say it's a logic board problem that cannot be fixed. I'm hoping the seller will contact me ASAP to exchange the phone for a product that is not damaged. If so I will update my review to reflect that. This was my Mothers' Day gift. Kind of sucks that it's broken.",Positive,
156,"Eh. In my opinion, it�s just as expensive as a brand new phone but it appears gently used. T-Mobile full price was 599.. this phone (shipping + cost+taxes) was 592.. It came with a non brand charger, it�s got minor scratches on the screen and some around the border. Battery is alright. Fortunately, nothing major. It shipped next day for me so that was good. I�m still debating sending it back but set up takes a while so you contemplate keeping it. I was a little worried about security but it seems alright...",Neutral,
157,"I bought this phone a few months ago and wanted to wait before writing a review. Overall, I am very happy with it. No glitches or bugs, minimal scratches on the back. I recommend this seller.",Positive,
158,Brand new phone. Great quality for the best price. Very happy with it and would recommend. I wish it came with earbuds though.,Positive,
159,"This was a purchase for my teenage son. He has had this phone now for about three months and loves everything about it. The camera has so many features, it�s truly incredible. The lightning fast charge really works. I wouldn�t be afraid to by renewed from Amazon. This is a great quality phone.",Positive,
160,"Almost like new! It had a couple light scratches in the back and a bit deeper one on the bottom side (not the screen but on the gold/black part) it isn�t anything to be upset about since it�ll be covered by a case and isn�t that visible unless you look for it.

The phone heats up a little bit sometimes but I�ve noticed it�s when I�m holding my phone more by the middle. Works great! Make sure to update the software or the apps won�t load",Positive,
161,"( 62 days old) bright light on bottom pages disappears, phone freezes, s amazon told seller to send another one. Been waiting 3 months seller keeps on refusing. Amazon promised me that they will talk to him and I will get another one. Called 4 times since April. I would never buy from this seller again. Only amazon direct where they have control Also the phone gets very very hot and can not hold a charge for long time battery wears down fast",Negative,
162,I love it.,Positive,
163,"Phone works great and it arrived early with super fast shipping! I was kinda bummed it came with only 89% battery life-I�m jealous of the people who got the 100% battery-but seriously-this is a great deal; my carrier tried to sell me the same phone for almost $1,200 with a contact. The one downside to the iPhone 11 (to me anyway) is that there is no headphone jack. Love the facial recognition-wait� there�s a fingerprint reader?! I had no idea.",Positive,
164,"I bought this phone the first time over a month ago. When I unboxed it, the keyboard did not work and I couldn't even get past setup. On the second phone, the screen flickered every time I pressed a button. The only good thing I can say is that the return process was easy. These are not ""certified"". They have been checked for physical damage and that is all.",Negative,
165,"I haven�t owned an iPhone since the first generation. I�ve been an android baby for years since then. That said, they�ve made iPhone controls way easier to learn and handle since then. I was a bit skeptical to swap over, but it�s definitely worth dropping Android for the smooth experience.

This vendor shipped the phone in perfect condition, no scratches, battery life was perfect. It also arrived close to 2 days earlier than the original estimate. Very pleased with this purchase, when the time comes to grab a new phone for my wife, I know exactly where to order from.",Positive,
166,"I�m overall happy. I haven�t had it for a month yet, but when receiving it, the battery was at 92% health, which is still good, for what I need. The customer service was quick to get back regarding a question I had in date of purchase. I�m not able to get Applecare since the date of purchase is not updated, but I don�t need phone insurance.

There weren�t any scratches or knicks. I ordered, used like new. There isn�t any lag when using the phone. No glitches. I did have a hard time updating the phone at first. I had to start over (transferring content from my old phone) , but once I did that, and got back to the update portion, everything went smoothly. I thought I had a lemon, but it is indeed exactly what I need. For $589, used-like new, and refurbished, this is what I hoped for.",Positive,
167,Just got my phone today and got it activated with cricket and it works perfectly the only thing is right now there is a small black shadow at the bottom of my screen that just started if in the next couple days it won't go away I will send it back but other than that I LOVE IT!!!,Positive,
168,At first I was a little bit skeptical about buying this phone from a random seller but I still proceeded to purchase the phone. I'm so glad I did because the phone came in PERFECT condition. No scratches or cracks anywhere along the phone. It even came with a screen protector on the phone and even one for the back camera.,Positive,
169,Phone works great! Works with my straight talk plan. Battery life is wonderful! Super fast shipping!,Positive,
170,"We had an issue with calls hearing them, during the 90 day period and they were awesome in getting a replacement next day after me shipping the defective one back. They respond to messages immediately and are very nice to work with! Other than that one little issue there was nothing wrong with the phone at all in perfect condition. If I order refurbished again I will definitely be going through them",Positive,
171,"After having this iphone 11 for just 3 days, I've come to realize that there are issues with the phone that were not addressed before it was sent to me. After fully resetting and updating the phone, checking the sim card with my service provider, and even taking it to multiple phone repair shops to have it checked... The phone still completely restarts without any warning up to 10 times in an hour. The device also seems to have some screen sensitivity issues and sometimes it will not respond to touch for several moments before working. On top of that, this phone hasn't been able to locate any of the bluetooth devices in my home that other members of the household are easily able to connect to.
I honestly don't know what went wrong here considering all the other good reviews, but let's just say you're definitely taking a chance if you buy a refurbished phone. I guess I'm going to have to send this one in for a refund... an unfortunate waste of time.",Negative,
172,"This phone is supposed to have no scratches visible at arms length. Not true. Very very visible scratches. However it is a good phone and a glass screen protector will cover them. Was a bit disappointed to see such visible scratches, but it was at a discount. I guess you get what you pay for.",Positive,
173,"Before buying I specifically selected ""unlocked"" when prompted to select a carrier. After hours of trying to activate and switch over my service, I spent another hour on the phone with my provider only to find out that the phone was locked. Then to make matter worse the phone would not allow me to log into the app store, or transfer my data over. I'll most likely return the phone because I am so angry about everything that I just went through. DO NOT BUY THIS PRODUCT. It's a hassle and a half and you're most likely going to have to return it too.",Negative,
174,Buyer beware... be very careful buying these refurbished phones. I received mine which was supposed to be able to be used on T-Mobile's network. I took it into the store to link it to my plan and was informed that it could not be used because it is currently registered to another user. So it either was not wiped clean or was stolen. Returned and received a refund.,Negative,
175,"I bought this phone for $700 a couple of months after Apple released the iPhone 11. This phone worked right for maybe 4-5 months. Now every 30 minutes it disables because the temperature is too hot. My phone loses connection every 30 minutes no matter how important I am in need of my phone to make calls, it loses service. I have service with straight talk. I have for years, as soon as I put this phone on their Phone service, it automatically started to give me problems. Straight talk has never led me to have issues but if you buy a phone from Electronic Deals from Amazon you'll definitely wind up with a whole lot of problems and wasted money.",Negative,
176,"Purchased this only to have the speaker go out in 4 months ( fitting since the seller ""warranty"" window is 3 months). Took it to best buy and they wouldn't work on it because it is an international version. Now I have to either pay $600 to fix a non-us version or but a new one. I knew 8 was taking a chance on a ""renewed"" device, but this is ridiculous. Worst decision ever buying this one.
Word of advice, when buying a phone, verify with the serial number that it is in fact the correct version.",Negative,
177,"The phone itself is nice, there are a few tiny scratches on the corner but they're not noticeable at all. I've had it for about a week and everything works fine, the battery health is at 90% and lasts for awhile between charges which is nice. I took off a couple stars because of shipping issues; for some reason my phone was unable to be delivered the 1st time and was returned to the shipper, so I had to contact the seller to send me a new one. This whole process took about 3 weeks which was super annoying, and the seller never explained why the first phone had to be sent back. Overall I would recommend buying this phone but avoiding this seller.",Neutral,
178,This is my second time buying an Iphone from Amazon sellers. The first phone I bought was a Iphone 6 in 2017 and up to today it lasted me with no problems but I needed a new upgraded phone with a better c�mara and all new features. I decided to try this seller and purchased my Iphone 11 which didn't come in the original box but who cares the phone is working perfectly fine for the price I paid it is worth it. Really happy with it. Thank you.,Positive,
179, The phone keeps on turning off and on over and over on its own when I open an app it keeps turning off and on over and over. Not worth buying. Returning the phone,Negative,
180,I have to say I was skeptical when purchasing this phone but I absolutely love it. It came with a screen protector already applied as well as a charger. It has no scratches to the screen or any other part of the phone also battery was at 100%. Absolutely love this phone. Thank you,Positive,
181,"I LOVE MY IPHONE 11!!! I bought my iphone 11 from here and i was a bit nervous, i�ve never purchased a phone outside of a phone store so i had my concerns. I read many many reviews on amazon and found this to be the best reviews. I am not disappointed! My screen is not cracked/not scratched, battery life is good, the camera is astounding and I adore the color! I highly recommend purchasing your phone from here. The only hang up I had was getting it set up with verizon, phone issues are never simple however so i kind of expected that. The customer service struggled with switching over my account to another account though, so that has nothing to do with the phone itself. Phone works great on verizon service!",Positive,
182,"Aveces tiene un pequeno descontrol con el volumen pero despues de ahi esta perfecto, me encanta, es mi herramienta mas importante de trabajo desde casa.

La carga dura mucho, no es necesario cargarlo todos los dias, con cada 2 dias esta perfecto y le doy mucho uso.",Positive,
183,"Haven�t noticed anything wrong with phone in 3 months so far, battery seems brand new and camera looks good. A lot of space for cheap too. Mine started by charging really slow but I wouldn�t worry about that because the phone was probably powered off for awhile. Also I would buy a better charger this comes with a generic charger and with no phone box.",Positive,
184,I was a little concerned to buy a phone off the internet from a 3rd party�but my good friend recommended it. i bought it for my husband and he loves it!! It�s perfect and cheaper to buy it this way with a credit card than to get one from a phone store! I definitely recommend!,Positive,
185,"Brand new phone, are at least it was supposed to be. The screen came scratched! The company place a screen protector over the top to hide, so sent it out damaged in the first place. Very disappointed in the large purchase and already damaged!!",Negative,
186,"First This phone is not unlocked, so that is a lie, it will no work with Verizon, and then it is shipped with fedex! FedEx is not reliable! The phone was supposed to be here 2 weeks ago, still a not here! Just buy a new phone and save yourself a lot of time. It is not worth the few bucks you save buying this one!",Negative,
187,"The phone delivery faster than a day that Amazon estimate. The battery life is 100% very good. But the phone is very dirty in the back, especially in the camera part. And the memory has been used 11GB for something that I do not know. I do not see any headphones here but it is all right no big problem. The fully unlock that I pick for the phone is working well with the T-Mobile sim card. The charge that Amazon provides charge phone really slow to get to 100% but I already have a wireless charger so no big issue with that. All of the things that I list above about the product that I buy make me feel happy because this is a trusted place to buy the phone. But I think you should buy an iPhone 12, the same price but better color than iPhone 11.",Neutral,
188,"Its my second time I bought a iPhone from amazon renewed and with buyspry partner.

My first time was a iPhone xs, and the cellphone was great, no one visible scratch and screen protector and battery life about 85%

This time I was bought a iPhone 11, and this have 3 visible scratches in the screen and doesnt come with screen protector, but the battery is in 100%.

I am little dissaponited because in the last buy, the cellphone was practically in new condition, this last one I get the impression that is not new and its used unlike the last buy (I know that no one of amazon renewed its new, but it gives the feeling of).",Neutral,
189,I bought the phone refurbished and upon receipt I took it to tmobile to start service and the phone was blacklisted and reported stolen by the owner. I couldn't believe it.,Negative,
